COMPANY,PROMOTER & PROMOTER GROUP (A),PUBLIC (B)
21st Century Management Services Limited,64.43,35.57
Aditya Birla Capital Limited,68.51,31.49
Adani Green Energy Limited,62.43,37.57
Anik Industries Limited,37.14,62.86
ATLANTAA LIMITED,74.67,25.33
Bhansali Engineering Polymers Limited,57.47,42.53
Canara Bank,62.93,37.07
Chennai Petroleum Corporation Limited,67.29,32.71
CLC Industries Limited,90.0,10.0
Creative Eye Limited,56.26,43.74
DB (International) Stock Brokers Limited,41.17,58.83
Dodla Dairy Limited,58.92,41.08
EFC (I) Limited,60.44,39.56
EMS Limited,69.7,30.3
ETERNAL LIMITED,0.0,95.27
Finolex Industries Limited,52.47,47.18
Global Education Limited,72.73,27.27
Sri Havisha Hospitality and Infrastructure Limited,33.99,66.01
HDFC Bank Limited,0.0,100.0
Hisar Metal Industries Limited,61.2,38.8
Kuantum Papers Limited,70.3,29.7
Loyal Textile Mills Limited,73.49,26.51
Plastiblends India Limited,62.81,37.19
Power Mech Projects Limited,58.42,41.58
PSP Projects Limited,68.82,31.18
Sammaan Capital Limited,0.0,98.63
Sharda Cropchem Limited,74.82,25.18
Superhouse Limited,54.88,45.12
Suraksha Diagnostic Limited,49.1,50.9
Kamdhenu Ventures Limited,52.54,47.46
B.A.G Films and Media Limited,49.37,50.63
Bajaj Hindusthan Sugar Limited,13.64,86.28
Centrum Capital Limited,35.94,61.73
Future Market Networks Limited,68.48,31.52
Healthcare Global Enterprises Limited,64.21,35.79
Manappuram Finance Limited,31.77,68.23
Shemaroo Entertainment Limited,67.24,32.76
Vardhman Polytex Limited,37.5,62.5
Central Mine Planning & Design Institute Limited,85.0,15.0
V2 Retail Limited,51.43,48.57
Diamines & Chemicals Limited,56.91,43.09
Bhandari Hosiery Exports Limited,41.83,58.17
Kanpur Plastipack Limited,68.03,31.97
Metropolis Healthcare Limited,48.87,51.13
Nitco Limited,20.17,79.83
Onelife Capital Advisors Limited,26.03,73.97
PC Jeweller Limited,39.83,60.17
Bodhi Tree Multimedia Limited,24.27,75.73
Celebrity Fashions Limited,33.15,66.85
CLC Industries Limited,90.0,10.0
JK Paper Limited,52.94,47.06
Power & Instrumentation (Gujarat) Limited,50.69,49.31
SG Finserve Limited,53.02,46.98
Swan Defence and Heavy Industries Limited,89.9,10.1
Bajaj Healthcare Limited,58.29,41.71
Black Box Limited,70.49,29.51
Ceinsys Tech Limited,50.87,49.13
Power & Instrumentation (Gujarat) Limited,49.99,50.01
Singer India Limited,30.49,69.51
Kridhan Infra Limited,44.88,55.12
eClerx Services Limited,54.52,43.5
Power & Instrumentation (Gujarat) Limited,50.26,49.74
Lloyds Metals And Energy Limited,61.64,38.32
Websol Energy System Limited,29.72,70.28
Zim Laboratories Limited,30.3,69.7
Associated Alcohols & Breweries Ltd.,62.35,37.65
Baid Finserv Limited,47.39,52.61
Marsons Limited,53.65,46.35
Sadhana Nitrochem Limited,65.85,34.15
Sical Logistics Limited,73.5,26.5
SPML Infra Limited,39.54,60.46
LLOYDS ENGINEERING WORKS LIMITED,41.92,57.67
Agi Infra Limited,71.29,28.71
Cupid Limited,45.95,54.05
Power & Instrumentation (Gujarat) Limited,50.89,49.11
Balu Forge Industries Limited,53.99,46.01
Kapston Services Limited,72.87,27.13
SEDEMAC Mechatronics Limited,26.24,73.76
Silver Touch Technologies Limited,74.61,25.39
Balu Forge Industries Limited,53.51,46.49
Insolation Energy Limited,66.12,33.88
Kavveri Defence & Wireless Technologies Limited,24.56,75.44
LCC Infotech Limited,34.43,65.57
Suven Life Sciences Limited,70.15,29.85
Asian Granito India Limited,38.8,61.2
Kavveri Defence & Wireless Technologies Limited,23.67,76.33
NIBE Limited,53.39,46.61
Mufin Green Finance Limited,47.3,52.7
W S Industries (I) Limited,51.59,48.41
Moneyboxx Finance Limited,46.79,53.21
Power & Instrumentation (Gujarat) Limited,49.43,50.57
PNGS Reva Diamond Jewellery Limited,60.32,39.68
InfoBeans Technologies Limited,72.84,27.16
Omnitech Engineering Limited,74.19,25.81
SPML Infra Limited,39.03,60.97
Stallion India Fluorochemicals Limited,47.8,52.2
Clean Max Enviro Energy Solutions Limited,49.48,50.52
Arihant Capital Markets Limited,67.67,32.32
Lexus Granito (India) Limited,53.54,46.46
E2E Networks Limited,39.45,60.46
Gaudium IVF and Women Health Limited,71.29,28.71
Shree Ram Twistex Limited,34.59,65.41
Balu Forge Industries Limited,53.17,46.83
Marine Electricals (India) Limited,68.2,31.8
Matrimony.Com Limited,56.96,43.04
Aarnav Fashions Limited,66.53,33.47
Ind-Swift Laboratories Limited,43.06,56.94
TCC Concept Limited,45.69,54.31
Virinchi Limited,40.08,59.92
Granules India Limited,38.02,61.98
Lloyds Enterprises Limited,62.72,37.28
Cyber Media (India) Limited,66.57,33.43
Bonlon Industries Limited,66.74,33.26
DCW Limited,45.28,54.72
Ceinsys Tech Limited,50.7,49.3
KPI Green Energy Limited,49.49,50.51
SPML Infra Limited,38.77,61.23
Axita Cotton Limited,41.93,58.07
DELPHI WORLD MONEY LIMITED,61.32,38.68
DCM Shriram Fine Chemicals Limited,50.11,49.89
Kwality Wall's (India) Limited,61.9,38.1
S.A.L. Steel Limited,70.98,29.02
Aye Finance Limited,0.0,99.07
Fractal Analytics Limited,16.97,83.03
Silgo Retail Limited,40.44,59.56
Dc Infotech And Communication Limited,62.2,37.8
Power & Instrumentation (Gujarat) Limited,49.87,50.13
Ratnaveer Precision Engineering Limited,42.63,57.37
Tirupati Forge Limited,49.01,50.99
TREJHARA SOLUTIONS LIMITED,33.87,66.13
Balu Forge Industries Limited,53.92,46.08
Lords Chloro Alkali Limited,74.97,25.03
GRM Overseas Limited,62.39,37.61
UPL Limited,33.51,66.49
LLOYDS ENGINEERING WORKS LIMITED,49.06,50.53
Aeroflex Industries Limited,65.47,34.53
Asian Hotels (North) Limited,0.0,100.0
Lloyds Metals And Energy Limited,63.64,36.24
Virinchi Limited,38.16,61.84
Asian Hotels (North) Limited,0.0,100.0
Vineet Laboratories Limited,5.98,94.02
JHS Svendgaard Laboratories Limited,33.85,66.15
PC Jeweller Limited,40.94,59.06
Power & Instrumentation (Gujarat) Limited,48.23,51.77
Sumit Woods Limited,60.56,39.44
Asian Hotels (North) Limited,0.0,100.0
Asian Hotels (North) Limited,0.0,100.0
Asian Hotels (North) Limited,0.0,100.0
GMR Power and Urban Infra Limited,46.28,53.72
Inox Green Energy Services Limited,56.12,43.88
TIL Limited,70.12,29.88
Gretex Corporate Services Limited,61.64,38.36
JB Chemicals & Pharmaceuticals Limited,48.78,51.22
Shadowfax Technologies Limited,16.71,83.29
SPML Infra Limited,38.33,61.67
Amagi Media Labs Limited,14.92,85.08
Nectar Lifesciences Limited,51.84,48.16
Advait Energy Transitions Limited,66.04,33.96
Best Agrolife Limited,50.44,49.56
Fineotex Chemical Limited,62.3,37.7
Halder Venture Limited,73.84,26.16
Maan Aluminium Limited,55.82,44.18
Optiemus Infracom Limited,72.17,27.83
SIGMA ADVANCED SYSTEMS LIMITED,71.22,28.78
Zodiac Clothing Company Limited,72.93,27.07
Authum Investment & Infrastructure Limited,68.79,31.21
Bharat Coking Coal Limited,90.0,10.0
Biocon Limited,44.91,54.99
Hilton Metal Forging Limited,13.71,86.29
VLS Finance Limited,56.38,43.62
Shankara Buildpro Limited,40.18,59.82
Krishival Foods Limited,37.21,62.79
eClerx Services Limited,54.52,43.65
Nureca Limited,68.09,31.91
Tirupati Forge Limited,49.44,50.56
Biocon Limited,48.27,51.63
Panache Digilife Limited,54.05,45.95
Optiemus Infracom Limited,72.42,27.58
